"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"DUSP5",-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,-0.373532428679689,3.01405027214874,0.721274014648151,-0.373532428679689
"DYNLT1",-0.765849909455755,-0.765849909455755,0.452579434385538,0.930092304774343,0.0620442402271634,0.465197017206376,-0.765849909455755,-0.765849909455755,0.205585591163753,2.47960086897736,-0.765849909455755,-0.765849909455755
"EEF1A1",-0.722559381436431,-0.722559381436431,-1.61491850198933,1.68193442007927,-0.722559381436431,0.712554137333663,0.579485118204875,-0.722559381436431,-0.722559381436431,0.961787867985433,0.22792798783772,1.06402587773052
"EFHD2",-0.419024532334596,-0.419024532334596,2.57736040288907,-0.419024532334596,-0.419024532334596,-0.419024532334596,-0.419024532334596,-0.419024532334596,1.61288492045689,-0.419024532334596,-0.419024532334596,-0.419024532334596
"EGR1",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"EIF5A",-0.866878311035078,-0.866878311035078,-0.866878311035078,-0.866878311035078,-0.866878311035078,-0.866878311035078,1.03319003260419,0.46810765287656,0.150943562251517,1.18479666924212,0.480973305947518,1.88325864328857
"ELF1",-0.0441862500805701,-0.0441862500805701,-1.18891912241819,-0.0441862500805701,-0.0441862500805701,-0.0441862500805701,-0.0441862500805701,-0.0441862500805701,-1.24511555159214,2.83171092473546,-0.0441862500805701,-0.0441862500805701
"EREG",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"ETS2",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813
"FCER1G",-0.345721454430564,-0.345721454430564,-0.345721454430564,-0.345721454430564,-0.345721454430564,-1.07238885904616,-0.345721454430564,-0.345721454430564,-0.345721454430564,-0.345721454430564,2.19643532181242,1.98744662710882
"FCGR3A",-0.625671996450468,-0.625671996450468,1.78188980070363,-0.625671996450468,-0.625671996450468,0.759930826616365,-0.625671996450468,-0.625671996450468,0.496557353940065,-0.625671996450468,1.96699799034368,-0.625671996450468
"FCRL6",-0.703039847741175,-0.703039847741175,2.28660086108111,-0.703039847741175,-0.703039847741175,1.25598310221959,-0.703039847741175,-0.703039847741175,0.530172540705711,0.2085882261942,-0.703039847741175,0.639934203987616
"FGFBP2",-0.515689111802875,-0.515689111802875,2.36377705508507,-1.0512294427234,-0.515689111802875,0.313362321312553,-0.515689111802875,-0.515689111802875,1.42771766613199,-0.515689111802875,-0.515689111802875,0.556196182813906
"FGR",-0.419249428887755,-0.419249428887755,1.61990956318075,-0.419249428887755,-0.419249428887755,-0.419249428887755,-0.419249428887755,-0.419249428887755,-0.419249428887755,-0.419249428887755,2.5725847256968,-0.419249428887755
"FL0",0.124971588456809,0.124971588456809,2.24716617727436,0.124971588456809,0.124971588456809,0.124971588456809,0.124971588456809,-1.43616235232914,0.124971588456809,0.124971588456809,0.124971588456809,-1.93574812105651
"FOLR3",-0.071301875226748,-0.071301875226748,-0.071301875226748,-0.071301875226748,2.66897154397011,-0.071301875226748,-0.071301875226748,-0.071301875226748,-0.071301875226748,-0.071301875226748,-1.95595279170263,-0.071301875226748
"FOS",-0.345735466504715,-0.144933776651636,-0.640631792280445,-1.19320820663632,-0.282297417419667,-1.05012810207605,0.656697498254003,1.26577590220902,0.516212137387188,0.841102440072933,-1.35485737027083,1.73200415391652
"FOSB",0.0676421978609844,0.0676421978609844,0.0676421978609844,-1.51394282619381,-1.81612274262778,-0.980973241531185,0.748471751361923,0.0676421978609844,0.559171701390987,1.33374430041698,0.0676421978609844,1.33144006787796
"FOSL2",-0.619677713173146,-0.619677713173146,-0.619677713173146,-0.619677713173146,-0.619677713173146,-0.619677713173146,-0.619677713173146,-0.619677713173146,0.150849473562437,1.85117595095941,1.24189663405703,1.71349964680629
"FTH1",-0.615358218932557,-0.615358218932557,-0.615358218932557,-0.615358218932557,-1.18662370595015,-0.615358218932557,0.0589694055972108,0.518835872750109,-0.180877783922613,2.04249630165421,0.0294004842970962,1.79459052023692
"FTX",1.30408455841803,1.08801195399692,0.933048358951453,0.655980725823121,1.04515685350249,0.573876817528357,-0.876396296343803,-1.09508120787917,-1.01140543816742,-0.597983181848112,-0.952877378526504,-1.06641576545536
"G0S2",-0.032382855399062,-0.032382855399062,-0.032382855399062,-0.032382855399062,-2.1765768006627,-0.032382855399062,-0.032382855399062,-0.032382855399062,-0.032382855399062,-0.032382855399062,2.50040535465332,-0.032382855399062
"GABARAPL1",-0.369083528009852,-0.369083528009852,-0.369083528009852,-0.369083528009852,-1.29509553364017,-0.369083528009852,-0.369083528009852,-0.369083528009852,-0.369083528009852,0.499986227181539,2.56672421362127,1.18105331691618
"GADD45B",-1.05379089763607,-0.36095589118095,-0.36095589118095,-1.52626461560805,-0.36095589118095,-0.36095589118095,0.511410781801206,-0.36095589118095,-0.36095589118095,1.63424399349002,0.817544526733729,1.78259155830487
"GAPDH",-0.968479786585369,-0.968479786585369,2.04413842741569,-0.968479786585369,-0.968479786585369,-0.135563247249752,0.89059309730356,0.407432460088413,0.802122571074298,0.13110210065976,-0.968479786585369,0.702573523634879
"GBP5",0.0123788439726361,0.0123788439726361,0.0123788439726361,0.0123788439726361,2.66860629362358,0.0123788439726361,0.0123788439726361,-1.30964266911957,0.0123788439726361,0.0123788439726361,0.0123788439726361,-1.47037322025773
"GIMAP4",-0.102575667830471,0.824181914179681,0.66799350627314,1.7097966656354,1.01927672225411,0.407421412540692,-0.102575667830471,-0.968375855595715,-0.525434291437335,-0.102575667830471,-0.911347473313231,-1.91578559704534
"GIMAP5",-0.0763205040491364,1.06953864975923,-0.0763205040491364,2.01439863088825,-0.0763205040491364,-0.0763205040491364,-0.0763205040491364,-0.0763205040491364,-0.0763205040491364,-0.0763205040491364,-0.0763205040491364,-2.39705274420525
"GIMAP7",0.0285836912704372,0.884646889173001,0.0285836912704372,1.82860261660673,1.24479683387786,0.0285836912704372,0.0285836912704372,-0.713234088921455,0.0285836912704372,-0.431709070027255,-1.12030946878471,-1.83571216827636
"G0S",-0.475177033619067,-1.5526953806987,-1.2347941069317,-0.475177033619067,-0.475177033619067,-0.475177033619067,1.01645586761332,1.21697499586258,0.6568712339077,0.685795452969983,-0.475177033619067,1.58727710537215
"GNLY",0.239375687546993,0.239375687546993,2.01434924305992,-1.14193112554902,0.239375687546993,-0.210682616243316,0.239375687546993,0.239375687546993,0.239375687546993,-2.2780202797782,0.239375687546993,-0.0593450343183348
"GPR183",-1.50417493091823,0.0356722375263739,-0.730559385194856,-0.56533560517605,0.0356722375263739,0.0356722375263739,0.986548870071446,0.0356722375263739,-0.444772062302755,-0.467285609315772,2.54721753520434,0.0356722375263739
